month,region,revenue_target,units_target
2024-01,East,50000,200
2024-01,West,45000,180
2024-01,North,40000,160
2024-01,South,35000,150
2024-02,East,52000,210
2024-02,West,47000,190
2024-02,North,42000,170
2024-02,South,37000,155
2024-03,East,55000,220
2024-03,West,50000,200
2024-03,North,45000,180
2024-03,South,40000,165
2024-04,East,53000,215
2024-04,West,48000,195
2024-04,North,43000,175
2024-04,South,38000,160
2024-05,East,56000,225
2024-05,West,51000,205
2024-05,North,46000,185
2024-05,South,41000,170
2024-06,East,54000,218
2024-06,West,49000,198
2024-06,North,44000,178
2024-06,South,39000,163
2024-07,East,58000,235
2024-07,West,53000,215
2024-07,North,48000,195
2024-07,South,43000,180
2024-08,East,57000,230
2024-08,West,52000,210
2024-08,North,47000,190
2024-08,South,42000,175
2024-09,East,60000,240
2024-09,West,55000,220
2024-09,North,50000,200
2024-09,South,45000,185
2024-10,East,59000,238
2024-10,West,54000,218
2024-10,North,49000,198
2024-10,South,44000,183
2024-11,East,62000,250
2024-11,West,57000,230
2024-11,North,52000,210
2024-11,South,47000,195
2024-12,East,65000,260
2024-12,West,60000,240
2024-12,North,55000,220
2024-12,South,50000,205
